text,label
"अमेरिकी सैन्य मौजूदगी से नहीं, क्षेत्रीय सहयोग से संभव है पश्चिम एशिया की सुरक्षा : ईरान

तेहरान । ईरान के उप विदेश मंत्री काजेम गरीबाबादी ने कहा है कि पश्चिम एशिया में स्थायी सुरक्षा अमेरिकी सैन्य मौजूदगी से नहीं, बल्कि क्षेत्र से बाहरी हस्तक्षेप समाप्त होने और क्षेत्रीय देशों के आपसी सहयोग से सुनिश्चित हो सकती है।     ईरानी सरकारी मीडिया संगठन प्रेस टीवी के अनुसार उप विदेश मंत्री ने बुधवार को सोशल मीडिया प्लेटफॉर्म एक्स पर यह टिप्पणी बहरीन में अमेरिकी सेंट्रल कमांड (सेंटकाॅम) के नेतृत्व में आयोजित ""सुरक्षा वार्ता"" के बाद की। इस बैठक में 12 देशों के सैन्य अधिकारियों ने क्षेत्रीय सुरक्षा, रक्षा सहयोग और होर्मुज़ जलडमरूमध्य में वाणिज्यिक जहाजों की आवाजाही जैसे मुद्दों पर चर्चा की।       ग़रीबाबादी ने कहा कि बहरीन में आयोजित सैन्य शिखर सम्मेलन फ़ारस की खाड़ी के लिए कानूनी व्यवस्था और स्थायी सुरक्षा स्थापित नहीं कर सकता। क्षेत्र की सुरक्षा तभी संभव है जब बाहरी दखलंदाज़ी समाप्त हो, अमेरिका अपनी सैन्य मौजूदगी हटाए, सभी देशों की संप्रभुता का सम्मान किया जाए और नई भू-राजनीतिक वास्तविकताओं को स्वीकार किया जाए।       उन्होंने होर्मुज जलडमरूमध्य पर ईरान के नियंत्रण का भी उल्लेख करते हुए कहा कि यह रणनीतिक जलमार्ग ईरान के अधिकार क्षेत्र में आता है, न कि अमेरिकी सेंट्रल कमांड के। ईरान ने दावा किया कि अमेरिका और इज़राइल के साथ संघर्ष के शुरुआती दिनों से ही होर्मुज़ जलडमरूमध्य में आवाजाही पर प्रतिबंध लगाया गया था। बाद में 17 जून को पाकिस्तान की मध्यस्थता में ईरान और अमेरिका के बीच एक समझौता ज्ञापन पर हस्ताक्षर हुए, जिसमें दोनों देशों ने सभी मोर्चों पर दुश्मनी समाप्त करने और 60 दिनों के भीतर अंतिम समझौते के लिए वार्ता जारी रखने पर सहमति जताई।       14-सूत्री समझौते के तहत ईरान ने कम से कम 60 दिनों तक वाणिज्यिक जहाजों को बिना टोल के सुरक्षित मार्ग उपलब्ध कराने तथा 30 दिनों के भीतर होर्मुज़ जलडमरूमध्य में सामान्य आवाजाही बहाल करने की प्रतिबद्धता जताई है। हालांकि, ईरान ने स्पष्ट किया है कि जलडमरूमध्य पर उसकी संप्रभुता पूरी तरह बरकरार रहेगी। यह रणनीतिक समुद्री मार्ग युद्ध-पूर्व व्यवस्था में नहीं लौटेगा और इसका संचालन अंतरराष्ट्रीय कानून के अनुरूप इस्लामिक रिपब्लिक ईरान के प्रशासन के तहत ही किया जाएगा। -",Geopolitics
"केरल में महिला के यौन उत्पीड़न के आरोप में ईसाई पादरी गिरफ्तार

केरल के कोल्लम जिले के चावरा में एक महिला का कई बार यौन उत्पीड़न करने के आरोप में शुक्रवार को एक ईसाई पादरी को गिरफ्तार किया गया। पुलिस ने यह जानकारी दी। गिरफ्तार व्यक्ति की पहचान फादर डेनिस प्रवीण के रूप में हुई है। पुलिस के अनुसार, कथित घटनाएं वर्ष 2022 से 2024 के बीच हुईं। पुलिस ने बताया कि महिला चावरा स्थित एक ईसाई प्रार्थना केंद्र में आयोजित धार्मिक शिविरों में भाग लेने जाती थी, जहां फादर डेनिस प्रवीण कार्यरत था और इसी दौरान उसकी महिला से जान-पहचान हुई थी। पुलिस का आरोप है कि इस अवधि के दौरान पादरी ने कोल्लम के विभिन्न स्थानों पर महिला का यौन उत्पीड़न किया। पुलिस ने बताया कि बाद में उसका तबादला तिरुवनंतपुरम जिले के विड़िण्गम स्थित एक धार्मिक शिविर केंद्र में हो गया था, लेकिन इसके बाद भी वह शिकायतकर्ता महिला का कथित तौर पर यौन उत्पीड़न करता रहा। हाल ही में महिला द्वारा चावरा थाने में शिकायत दर्ज कराने के बाद आरोपी कथित तौर पर फरार हो गया था। शुक्रवार को उसे तिरुवनंतपुरम में उसके ठिकाने से गिरफ्तार कर लिया गया। पुलिस ने बताया कि आरोपी को अदालत में पेश किया गया, जहां से उसे न्यायिक हिरासत में भेज दिया गया।",Law and Order
"Policing New Battlespace, Case for a 21st-Century Police Force: Cybercrime, Narco-Terror, Jihadi Networks

“Policing New Battlespace, Case for a 21st-Century Police Force: Cybercrime, Narco-Terror, Jihadi Networks”, My Ind Maker , June 22, 2026   “ The Enemy Has Changed. The Police Have Not.   When the Police Act of 1861 was drafted, the threats it was designed to address were essentially pre-industrial: seditious gatherings, armed peasant uprisings, banditry, and enforcement of property rights in a rural economy. The police officer of 1861 carried a lathi, operated in a district, and answered to the District Magistrate.   The police officer of 2025 is expected to investigate cryptocurrency heists orchestrated from servers in Southeast Asia, intercept drone-dropped narcotics along the Line of Control, detect dark-web radicalisation networks, counter deepfake-enabled financial fraud targeting millions simultaneously, and dismantle transnational organised crime syndicates whose operations span a dozen jurisdictions. The tools of crime have undergone a revolution of epochal proportions. The institutional architecture of policing has not.   This is not merely a question of training or technology acquisition. It is a question of fundamental structural reform — the design of a policing institution appropriate to the threat environment of the 21st century, in a nation that is simultaneously the world’s most populous democracy, a rapidly digitalising economy, and a strategic target of state-sponsored terrorism and narco-trafficking from hostile neighbours…….”   Read full article at myind.net",National Security
"उत्तराखंड में मदरसों के लिए नई व्यवस्था: हरिद्वार से शुरू हुई मान्यता प्रक्रिया, सभी संस्थानों को शिक्षा प्राधिकरण के दायरे में लाने की तैयारी - ABC News

हरिद्वार: उत्तराखंड सरकार द्वारा मदरसा बोर्ड को भंग किए जाने के बाद प्रदेश में मदरसों की शिक्षा व्यवस्था में बड़ा बदलाव देखने को मिल रहा है। राज्य सरकार ने अब प्रदेश के सभी मदरसों को उत्तराखंड अल्पसंख्यक शिक्षा प्राधिकरण के दायरे में लाने की प्रक्रिया शुरू कर दी है। इस नई व्यवस्था के तहत मदरसों को निजी विद्यालयों की तर्ज पर निर्धारित मानकों को पूरा करते हुए प्राधिकरण से मान्यता प्राप्त करनी होगी। इसकी शुरुआत हरिद्वार जिले से हो चुकी है, जहां शिक्षा विभाग ने मदरसों से आवेदन लेना शुरू कर दिया है।   शिक्षा विभाग के अधिकारियों के अनुसार हरिद्वार जिले में करीब 250 मदरसे संचालित हैं। इनमें से अब तक 26 मदरसों ने मान्यता के लिए आवेदन कर दिया है, जबकि अन्य संस्थानों से भी लगातार आवेदन और आवश्यक दस्तावेज विभाग को प्राप्त हो रहे हैं। विभाग सभी आवेदनों की नियमानुसार जांच कर रहा है और पात्र संस्थानों को चरणबद्ध तरीके से मान्यता प्रदान की जाएगी।   जिला प्रारंभिक शिक्षा अधिकारी (बेसिक) अमित कुमार चंद ने बताया कि अब मदरसों के लिए भी वही मानक लागू होंगे जो निजी विद्यालयों के लिए निर्धारित हैं। किसी भी मदरसे को मान्यता प्राप्त करने के लिए भवन की गुणवत्ता, पर्याप्त कक्षाएं, सुरक्षित परिसर, स्वच्छ पेयजल, शौचालय, अग्नि सुरक्षा व्यवस्था, शिक्षण संसाधन, योग्य शिक्षक और अन्य आवश्यक दस्तावेज उपलब्ध कराने होंगे।   उन्होंने बताया कि केवल आवेदन जमा करने से मान्यता नहीं मिलेगी। विभागीय टीम प्रत्येक संस्थान का निरीक्षण करेगी और सभी मानकों की जांच के बाद ही अंतिम स्वीकृति दी जाएगी। यदि किसी संस्थान में कमियां पाई जाती हैं तो उसे पहले निर्धारित मानकों के अनुरूप सुधार करने का अवसर दिया जाएगा।   राज्य सरकार का कहना है कि नई व्यवस्था लागू करने का उद्देश्य किसी भी संस्था की धार्मिक पहचान को प्रभावित करना नहीं, बल्कि सभी शिक्षण संस्थानों को एक समान नियामक व्यवस्था के अंतर्गत लाना है। सरकार चाहती है कि मदरसों में अध्ययन करने वाले विद्यार्थियों को भी आधुनिक और गुणवत्तापूर्ण शिक्षा का लाभ मिले तथा संस्थानों का संचालन पारदर्शी और जवाबदेह तरीके से हो।   शिक्षा विभाग के अधिकारियों का मानना है कि एक समान मान्यता प्रणाली लागू होने से शिक्षा की गुणवत्ता में सुधार होगा। साथ ही सरकारी निगरानी मजबूत होने से छात्रों को बेहतर शैक्षणिक वातावरण उपलब्ध कराया जा सकेगा।   शिक्षा विभाग ने स्पष्ट किया है कि फिलहाल आवेदन जमा करने के लिए कोई अंतिम तिथि निर्धारित नहीं की गई है। हालांकि विभाग चाहता है कि सभी मदरसे जल्द से जल्द आवेदन प्रक्रिया पूरी करें ताकि निरीक्षण और मान्यता का कार्य समयबद्ध तरीके से पूरा किया जा सके।   अधिकारियों के अनुसार यदि सभी संस्थान समय रहते आवेदन कर देते हैं तो पूरे जिले में नई व्यवस्था को शीघ्र लागू किया जा सकेगा। इससे भविष्य में प्रशासनिक प्रक्रियाएं भी अधिक व्यवस्थित होंगी।   उत्तराखंड सरकार ने प्रदेश में शिक्षा व्यवस्था को अधिक प्रभावी और पारदर्शी बनाने के उद्देश्य से उत्तराखंड अल्पसंख्यक शिक्षा प्राधिकरण का गठन किया है। यह प्राधिकरण एक जुलाई से औपचारिक रूप से कार्य करना शुरू कर चुका है। इसके साथ ही राज्य सरकार ने मदरसा बोर्ड को भंग करने का निर्णय लागू कर दिया।   नई व्यवस्था के तहत अब प्रदेश के सभी मदरसों को इसी प्राधिकरण से मान्यता प्राप्त करनी होगी। इसके माध्यम से राज्य सरकार अल्पसंख्यक शिक्षण संस्थानों की शैक्षणिक गुणवत्ता, प्रशासनिक व्यवस्था और आधारभूत सुविधाओं की नियमित निगरानी करेगी।   सरकारी आंकड़ों के अनुसार उत्तराखंड में वर्तमान समय में कुल 452 मदरसे संचालित हैं। इनमें लगभग 400 मदरसे पहली से आठवीं कक्षा तक की शिक्षा प्रदान करते हैं, जबकि 52 मदरसे नौवीं से बारहवीं तक संचालित हैं। नई व्यवस्था लागू होने के बाद इन सभी संस्थानों को उत्तराखंड अल्पसंख्यक शिक्षा प्राधिकरण से मान्यता लेना अनिवार्य होगा।   सरकार का मानना है कि सभी संस्थानों का एकीकृत रिकॉर्ड तैयार होने से प्रशासनिक निगरानी आसान होगी और विद्यार्थियों को बेहतर शैक्षणिक सुविधाएं उपलब्ध कराई जा सकेंगी।   मान्यता प्रक्रिया शुरू होने से पहले शिक्षा विभाग ने सरकार के निर्देश पर हरिद्वार जिले में संचालित 131 मदरसों का निरीक्षण किया था। निरीक्षण के दौरान भवन, दस्तावेज, छात्रों की संख्या, शिक्षकों की उपलब्धता और अन्य व्यवस्थाओं का परीक्षण किया गया था।   विभाग का कहना है कि निरीक्षण रिपोर्ट के आधार पर आवश्यक सुधारों की पहचान की गई है। अब मान्यता प्रक्रिया के दौरान उन्हीं मानकों के अनुसार संस्थानों का दोबारा मूल्यांकन किया जाएगा।   शिक्षा विभाग द्वारा निर्धारित प्रमुख मानकों में शामिल हैं—   इन सभी बिंदुओं पर संतोषजनक स्थिति मिलने के बाद ही संबंधित मदरसे को मान्यता प्रदान की जाएगी।   शिक्षा विभाग का कहना है कि इस पूरी प्रक्रिया का उद्देश्य प्रदेश के सभी मदरसों को व्यवस्थित और जवाबदेह शिक्षा प्रणाली का हिस्सा बनाना है। विभाग चाहता है कि प्रत्येक विद्यार्थी को सुरक्षित वातावरण, गुणवत्तापूर्ण शिक्षा और आवश्यक सुविधाएं उपलब्ध हों। साथ ही संस्थानों का संचालन निर्धारित नियमों और मानकों के अनुरूप सुनिश्चित किया जा सके।   अधिकारियों का कहना है कि सरकार का प्रयास शिक्षा व्यवस्था में सुधार लाना है। इसी उद्देश्य से मदरसों के लिए नई मान्यता प्रणाली लागू की गई है। विभाग सभी संस्थानों को आवेदन प्रक्रिया और आवश्यक दस्तावेजों के संबंध में मार्गदर्शन भी उपलब्ध करा रहा है।   आने वाले महीनों में हरिद्वार सहित पूरे उत्तराखंड के सभी मदरसों को उत्तराखंड अल्पसंख्यक शिक्षा प्राधिकरण से मान्यता प्राप्त करनी होगी। आवेदन, दस्तावेजों की जांच और भौतिक निरीक्षण के बाद पात्र संस्थानों को मान्यता दी जाएगी। सरकार का दावा है कि नई व्यवस्था से शिक्षा की गुणवत्ता, पारदर्शिता और प्रशासनिक निगरानी मजबूत होगी, जिससे प्रदेश के हजारों विद्यार्थियों को दीर्घकालिक लाभ मिलेगा।",Internal Matter
"Iran Funeral: तेहरान की सड़कों पर उतरा लाखों का हुजूम, सुप्रीम लीडर अयातुल्ला अली खामेनेई के अंतिम संस्कार की तैयारी

ईरान की राजधानी तेहरान के ग्रैंड मोसाल्ला कॉम्प्लेक्स में सुप्रीम लीडर अयातुल्ला अली खामेनेई की अंतिम विदाई के लिए लाखों लोग जमा हुए हैं। शहर में भारी भीड़ को देखते हुए प्रशासन ने यातायात के कड़े नियम लागू किए हैं। यह आयोजन देश के इतिहास के सबसे बड़े राजकीय अंतिम संस्कार के रूप में देखा जा रहा है।   अयातुल्ला अली खामेनेई की हत्या 28 फरवरी 2026 को हुई थी। 2026 के ईरान युद्ध की वजह से उनके अंतिम संस्कार में देरी हुई। उनके साथ उनकी बेटी, दामाद और 14 महीने की पोती की भी जान गई थी, जिनका शव भी उनके साथ रखा गया है।   भीड़ को संभालने के लिए सरकार ने शनिवार 4 जुलाई से सोमवार 6 जुलाई तक तेहरान के सभी सरकारी और प्राइवेट दफ्तर बंद रखे हैं। शहर के बीच के इलाकों में निजी गाड़ियों का जाना मना है, जिसकी वजह से कई लोग पैदल चलकर कार्यक्रम स्थल तक पहुंच रहे हैं। हवाई यातायात पर भी असर पड़ा है। मेहराबाद एयरपोर्ट शुक्रवार सुबह से पूरी तरह बंद रहा, जबकि इमाम खुमैनी इंटरनेशनल एयरपोर्ट पर काम जारी है। 6 जुलाई को तेहरान का हवाई क्षेत्र पूरी तरह बंद रहेगा।   इस मौके पर 100 से ज्यादा देशों के प्रतिनिधि शामिल हो रहे हैं। भारत की तरफ से केंद्रीय राज्य मंत्री पवित्र मार्गरीता और बिहार के राज्यपाल सैयद अता हसनैन शामिल हुए हैं। इनके अलावा पाकिस्तान के प्रधानमंत्री शहबाज शरीफ, चीन के हे वेई, रूस के पूर्व राष्ट्रपति दिमित्री मेदवेदेव और अफगानिस्तान के प्रतिनिधि भी इसमें हिस्सा ले रहे हैं।   संसद अध्यक्ष मोहम्मद बागेर गालिबफ ने लोगों से बड़ी संख्या में आने की अपील की है। IRGC के कमांडर जनरल अहमद वहिदी ने कहा कि दुश्मन इस देश को सरेंडर करते हुए देखने का सपना कभी पूरा नहीं कर पाएंगे। राष्ट्रपति मसूद पेज़ेशकियन ने भी सभी पृष्ठभूमि के ईरानियों से इसमें शामिल होने को कहा है। यह पूरा आयोजन मुहर्रम के महीने में हो रहा है, जिससे इसका धार्मिक महत्व और बढ़ गया है।",National Security
"Ranchi News: सर्पदंश से नौ वर्षीय छात्र घायल, रांची रेफर

Ranchi News: बेड़ो, प्रतिनिधि। बेड़ो प्रखंड के कुदारखो गांव में गुरुवार शाम करीब छह बजे सर्पदंश की घटना में नौ वर्षीय छात्र घायल हो गया। घायल छात्र की पहचान दाऊद केरकेट्टा के पुत्र प्रताप केरकेट्टा के रूप में हुई है। उसे बाएं पैर में सांप ने काट लिया। परिजनों ने बताया कि प्रताप अपने दोस्तों के साथ गांव के तालाब के पास खेलने गया था। इसी दौरान काले रंग के सांप ने उसे काट लिया। घटना के बाद वह दौड़कर घर पहुंचा और परिजनों को इसकी जानकारी दी। परिजन उसे सामुदायिक स्वास्थ्य केंद्र बेड़ो ले गए, जहां डॉ सुनील कंडुलना ने प्राथमिक उपचार के बाद बेहतर इलाज के लिए सदर अस्पताल रांची रेफर कर दिया।   प्रताप दिघिया मिशन स्कूल में कक्षा तीन का छात्र है।     लेटेस्ट    Hindi News ,     बॉलीवुड न्यूज ,    बिजनेस न्यूज ,    टेक   ,    ऑटो ,    करियर , और    राशिफल ,  पढ़ने के लिए Live Hindustan App डाउनलोड करें।",Unrelated
"मथुरा में निकला अलम का जुलूस: या हुसैन की गूंजी सदाएं, सुरक्षा के रहे कड़े इंतजाम

मथुरा में बुधवार को मगरिब की नमाज के बाद मोहर्रम का चांद दिखाई देने के साथ ही इस्लामी नववर्ष और मोहर्रम महीने का आगाज हो गया। इसी के साथ शहर में परंपरागत रूप से मोहर्रम का पहला अलम का जुलूस निकाला गया। जुलूस में बड़ी संख्या में अकीदतमंद शामिल हुए और  पहला अलम डींग गेट स्थित गिलगिलिया वाली बगीची से बरामद किया गया। जुलूस में अलमदारों, अखाड़ों के उस्तादों, खलीफाओं और मुस्लिम समाज के लोगों ने शिरकत की। जुलूस डींग गेट से शुरू होकर शाही ईदगाह मस्जिद, नई बस्ती, तेलीपाड़ा, मंडी रामदास, ठेक नारनौर, विशायती खिड़की और वृंदावन गेट होते हुए चौक बाजार स्थित जामा मस्जिद पहुंचा।  जामा मस्जिद पर दिखे पारंपरिक करतब  जामा मस्जिद पहुंचने पर करीब डेढ़ घंटे तक अखाड़ा जमा रहा। इस दौरान उस्तादों और खलीफाओं ने तलवारबाजी समेत कई पारंपरिक करतबों का प्रदर्शन किया, जिसे देखने के लिए लोगों की भीड़ जुटी रही। इसके बाद जुलूस वरवार पाड़ा पहुंचकर संपन्न हुआ। पूरा कार्यक्रम रात करीब 11 बजे तक चला।  सुरक्षा के रहे कड़े इंतजाम  मोहर्रम के पहले जुलूस को लेकर पुलिस प्रशासन पूरी तरह सतर्क रहा। जुलूस मार्ग पर पर्याप्त पुलिस बल तैनात किया गया था। अधिकारियों की निगरानी में कार्यक्रम शांतिपूर्ण और व्यवस्थित ढंग से संपन्न हुआ।  10 मोहर्रम तक निकलेंगे विभिन्न जुलूस  मोहर्रम कमेटी से जुड़े मोहम्मद दिलशाद ने बताया कि पहला अलम हजरत इमाम हुसैन की याद में निकाला गया है। उन्होंने कहा कि 10 मोहर्रम तक विभिन्न धार्मिक कार्यक्रमों और जुलूसों का आयोजन किया जाएगा। मोहर्रम का महीना त्याग, बलिदान और इंसानियत का संदेश देता है। इस दौरान लोग रोजे रखते हैं, इबादत करते हैं और जरूरतमंदों की मदद कर सामाजिक भाईचारे को मजबूत करते हैं। कार्यक्रम में मोहर्रम कमेटी के अध्यक्ष भूरा शेख पहलवान, सेक्रेटरी अबरार वारसी, उपाध्यक्ष जहीर अब्बास जैदी, बबलू कुरैशी, आरिफ खान, नौशाद खान, निशाद अहमद, राजू फारुकी, नायाब सेक्रेटरी एडवोकेट डी.के. खान, मीडिया प्रभारी अली अब्बास और बंटी कुरैशी समेत कई गणमान्य लोग मौजूद रहे।",Mobilization & Mass Action
"सजा हो तो ऐसी, रिश्वतखोरी पर औरंगजेब ने कैसे अपनी ही बहन से छीना मल्लिका-ए-जहां का ओहदा?

रिश्वतखोरी और अवैध कमाई की बीमारी नई नहीं है. मुगल दौर के सबसे निरंकुश शासक के तौर पर चर्चित औरंगज़ेब के दौर में भी यह रोग खूब फला-फूला. शिकायतें पहुंचने के बाद भी या तो बादशाह ने इन्हें दरगुजर किया या खुद को बेबस पाया. बादशाह से सीधी मुलाकात या उनकी इनायत के लिए वजीरों को साधना जरूरी होता था. एवज में बड़ी रकम चुकता करने की शर्त रहती थी. और तो और औरंगजेब की बहन रोशनआरा ने वसूली में सबको पीछे छोड़ दिया.   मल्लिका-ए-जहां की हैसियत में गलत रास्तों से उसने खूब दौलत बटोरी. हालात इतने बदतर हो गए कि मुगल बादशाह शाहजहां की मौत के बाद रोशनआरा के खिलाफ दस्तावेजी सबूतों के पुलिदों के साथ औरंगजेब अपनी बड़ी बहन जहांआरा के पास पहुंच गया. इस सबको अपनी आत्मकथा में जहांआरा ने दर्ज किया है. पढ़िए उसी के कुछ अंश.   शाहजहां की मौत के एक महीने बाद औरंगज़ेब आगरा पहुंचा. कैद के दौरान औरंगज़ेब की इजाज़त से उसकी बड़ी बहन जहांआरा पिता शाहजहां की देखभाल करती रही थी. गद्दी की लड़ाई में जहांआरा दारा के खेमे में थी. छोटी बहन रोशनआरा ने औरंगज़ेब का साथ दिया था. गद्दी पर बैठने के बाद औरंगज़ेब ने रोशनआरा को मल्लिका-ए-जहां का ख़िताब अता किया था. दारा का साथ देने के बाद भी जहांआरा से औरंगज़ेब के रिश्ते बिगड़े नहीं थे.   मुगल बादशाह शाहजहां.   असलियत में बादशाह बनने के बाद औरंगज़ेब को दरबार के जो पुराने कागज़ात मिले थे, उनसे उसे जानकारी हुई थी कि दारा की तरफदारी कर रहे शाहजहां से जहांआरा ने जेब (औरंगज़ेब) को भी बेटे की ही तरह देखने और उसके साथ भी बराबर का इंसाफ़ करने के लिए लिखा था. यही वजह थी कि जब कैदी पिता शाहजहां की देखभाल के लिए जहांआरा ने साथ रहने की औरंगज़ेब से इजाज़त मांगी थी तो उसने कहा था कि ध्यान रखियेगा कि आप वहां कैदी नहीं हैं.   औरंगज़ेब ने जहांआरा यह कहकर चौंका दिया था कि कैदी पिता और उनके इर्द-गिर्द रहने वाले हर कारिंदे की जासूसी होती थी लेकिन बहन को उसने इससे मुक्त रखने का हुक्म दे रखा था.   औरंगजेब.   दिलचस्प था कि शाहजहां की मौत के बाद औरंगज़ेब अपनी उस बहन को मल्लिका-ए-जहां के ओहदे के लिए राजी करने के लिए आगरा पहुंचा, जिसने गद्दी की लड़ाई में दुश्मन भाई दारा का साथ दिया था. इससे भी बड़ी बात थी कि इस मुकाम के लिए वह उस बहन रोशन आरा को बेदखल कर रहा था, जिसने सत्ता संघर्ष में उसका साथ दिया था और जब-तब वह इसे जताने का कोई मौका नहीं चूकती थी. औरंगज़ेब की इस पेशकश को कुबूल करने में जहांआरा कई वजहों से हिचक रही थी.   उसने औरंगज़ेब से कहा, “दिमाग से सोचो. रोशन आरा का हक़ मारकर हमको क्या हासिल होगा? यह सच है कि दारा हमसे छोटा था. हमारा झुकाव उसकी ओर ज्यादा था. रोशन आरा के फौरन बाद तुम हुए थे. इसलिए वह हमेशा कहती और मानती थी कि उसके हिस्से के भाई तुम हो. इसलिए उसे ही मल्लिका-ए-जहां रहने दो.” लेकिन औरंगज़ेब टस से मस नहीं हुआ. जाते समय कागज़ात का एक मोटा बस्ता वह जहांआरा को सुपुर्द कर गया.   जहांआरा बेगम.   मल्लिका-ए-जहां की हैसियत कुबूल करने को लेकर पशोपेश में पड़ी जहांआरा ने उस बस्ते के कागज़ात पढ़ना शुरू किया , जो औरंगज़ेब उसे हवाले कर दिल्ली वापस हो चुका था. जहांआरा ने लिखा, “न जाने दूसरों की तकलीफ़ से रोशन आरा को क्या सुकून मिलता है? मगर ऐसे लोग अपने स्वार्थ में इतने अंधे हो जाते हैं कि आखिर में अपना ही बुरा करते हैं. हम जैसे-जैसे सरकारी कागज़ात, वाक़ियानिगारों, हरकारों की रिपोर्टें पढ़ते गए, वैसे-वैसे कलेजा मुंह को आता गया. रोशन आरा को कितना सोना-चांदी, हीरे-जवाहरात और रुपया-पैसा चाहिए था! एक तरफ़ ईमानदारी और सादगी की मिसाल बादशाह आलमगीर तो दूसरी तरफ़ ठीक उसके उलट मल्लिका-ए-जहां. इन कागजातों में उसके खिलाफ़ हर तरह के भ्रष्ट बर्ताव और बेईमानी की शिकायतें थीं. हाकिमों से लेकर तिजारत और ज़ियारत करने वाले भी बादशाह से उसकी शिकायतें करने लगे थे. जब इन शिकायतों का पुलिंदा बढ़ता ही गया और जमुना का पानी हुकुमत के सिर के ऊपर से बहने लगा तब बादशाह औरंगजेब की सहने की हद खत्म हो गई.”   रोशनआरा बेगम.   बाद में औरंगज़ेब ने रोशन आरा की मल्लिका-ए-जहां के ओहदे से छुट्टी कर दी थी. लेकिन वहां तो कुएं में भांग पड़ी थी. मशहूर इतिहासकार यदुनाथ सरकार ने अपनी किताब ‘औरंगज़ेब’ में लिखा, ” नूरजहां का पिता जहांगीर का प्रधानमंत्री रहते निर्लज्जतापूर्वक रिश्वत मांगता था. औरंगज़ेब के शुरुआती वजीरों में एक जाफर खान का भी यही हाल था. उसने जयसिंह से दक्खिन की सूबेदारी बरकरार रहने के लिए सिफ़ारिश के वास्ते तीस हजार की थैली ली थी. दरबार में मामूली ओहदे पाने या उसे कायम रखने के लिए भी कुछ अलग से देना जरूरी था. घूस ले-लेकर कई काजी खासे मालामाल हो गए. इनमें सबसे ज्यादा बदनाम अब्दुल वहाब था.”   मुगलों के दौर के सिक्के.   औरंगज़ेब की खिदमत में रहने वाले कारिंदों को ऊपरी कमाई के खूब मौके मिलते थे. बादशाह से कुछ हासिल करने की उम्मीद करने वाले इनको साधने और खुश करने के लिए नकदी और कीमती सौगातें भेंट करते थे. ये अकेले में बादशाह को खुश देखकर किसी की सिफ़ारिश तो किसी का पत्ता कटवा देते थे. दिलचस्प है कि इन पर जो रकम चढ़ती, उसे देने वाला अपने से नीचे वाले से वसूलता. वसूली का यह सिलसिला नीचे पहुंचते-पहुंचते आखिर में व्यापारी और किसानों पर बोझ बनता.   यदुनाथ सरकार के अनुसार बेशक खुलकर रिश्वत लिया जाना ठीक नहीं समझा जाता था लेकिन जिनके काम रहते थे, उन्हें पता था कि काम करने वाला कैसे रास्ते पर आएगा? ज्यादातर मामलों में लुक-छिपकर तो कहीं भेंट-सौगातों की आड़ में खेल जारी रहता था. पैसे देकर कोई काम कराना या फिर मुकदमों में माफिक फैसला करा लेना मामूली बात थी.   राजशाही के उस दौर में बादशाह की इच्छा ही सब-कुछ थी. आम आदमी की पहुंच बादशाह तक मुमकिन नहीं थी. ऐसे में दरबार से लेकर हुकूमत की निचली पायदान तक तैनात सरकारी लोगों के अख्तियार बेहिसाब थे. चूंकि बादशाह तक फरियाद पहुंचना आसान नहीं था, इसलिए जिनके हाथ में अधिकार थे, उनकी मनमानी से निजात का इकलौता तरीका उनकी नाजायज़ मांगों को पूरा करना था.   यदुनाथ सरकार के मुताबिक किसी राजनीतिक अधिकार की प्रजा कल्पना नहीं कर सकती थी और उसकी हालत भेड़ों सरीखी थी. निरंकुश राज्य में आम आदमी की और उसकी जमा – पूंजी तथा अन्य संपत्ति की सलामती उन सरदारों – मनसबदारों के रहम पर थी, जिनका उन पर सीधा नियंत्रण था. औरंगज़ेब के वक्त सरकारी अमले की लूट बढ़ने की एक बड़ी वजह उसका लगातार युद्धों में उलझा रहना भी था. इन युद्धों ने एक ओर शाही खजाने पर खर्चे का भारी बोझ बढ़ाया, दूसरी ओर बादशाह लंबे-लंबे समय तक दिल्ली से दूर रहा. जाहिर था कि ऐसे में वजीरों – सरदारों को मनमानी और हुकूमत में अपनी हैसियत के बेजा इस्तेमाल का खूब मौका मिला. उन पर हथियारों और सेना के लिए ज्यादा से ज्यादा रकम जुटाने का भी दबाव रहता था. इस आड़ में उन्होंने शाही खजाने के साथ ही अपने लिए दौलत जुटाने के नए-नए रास्ते खोज निकाले.   पत्रकारिता से दशकों का जुड़ाव. आजादी के संघर्ष, राजनीति, इतिहास, समाज और संविधान से जुड़े सवालों पर सतत् अध्ययनशील. निरंतर लिखते-छपते रहते हैं. ' आजादी से पहले - आजादी के बाद ' और ' इंडिया अर्थात् भारत ' किताबें भी लिखी हैं. दोनों ही किताबें चर्चित और प्रशंसित.",Unrelated
